Canonical_SMILES,Standardized_SMILES,Toxicity_Value
FC(F)(F)c1cc(CN2CC3(CCNCC3)C2)cc(C(F)(F)F)c1,FC(F)(F)c1cc(CN2CC3(CCNCC3)C2)cc(C(F)(F)F)c1,0
c1ccc(N2CCCC3(CCNCC3)C2)cc1,c1ccc(N2CCCC3(CCNCC3)C2)cc1,1
CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)OCC,CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)OCC,0
CCn1c2ccccc2c2cc(/C=N/n3cnnc3S)ccc21,CCn1c2ccccc2c2cc(/C=N/n3cnnc3S)ccc21,1
COc1ccc(C(C(=O)NC2CCCCC2)N(C(=O)Cc2c[nH]c3ccccc23)c2ccc(NC(C)=O)cc2)cc1OC,COc1ccc(C(C(=O)NC2CCCCC2)N(C(=O)Cc2c[nH]c3ccccc23)c2ccc(NC(C)=O)cc2)cc1OC,0
ON=C1CCCC1,ON=C1CCCC1,0
CCOC(=O)C1CCCN(C(=O)C2CCN(S(=O)(=O)N3CCC4(CC3)OCCO4)CC2)C1,CCOC(=O)C1CCCN(C(=O)C2CCN(S(=O)(=O)N3CCC4(CC3)OCCO4)CC2)C1,0
CC1(C)OC(=O)N(Cc2ccco2)C1(C)O,CC1(C)OC(=O)N(Cc2ccco2)C1(C)O,0
CCc1c(C(=O)NCc2ccc3c(c2)OCO3)[nH]c(C)c1C(C)=O,CCc1c(C(=O)NCc2ccc3c(c2)OCO3)[nH]c(C)c1C(C)=O,1
CC(C)CC(C(=O)NCC1CCCO1)N(C(=O)Cn1nnc(-c2ccc(F)cc2)n1)c1ccccc1F,CC(C)CC(C(=O)NCC1CCCO1)N(C(=O)Cn1nnc(-c2ccc(F)cc2)n1)c1ccccc1F,1
Clc1ccc(CCNc2nc3ccccc3s2)cc1,Clc1ccc(CCNc2nc3ccccc3s2)cc1,1
COc1ccc(OC)c2nc(O)c(CCNC(=O)c3ccc(S(=O)(=O)N4CCCC4)cc3)cc12,COc1ccc(OC)c2nc(O)c(CCNC(=O)c3ccc(S(=O)(=O)N4CCCC4)cc3)cc12,1
C=C1C2CC[C@@]3(C)C(c4ccoc4)OC(=O)C[C@@]13OC1CC(=O)C(C)(C)C(C(OC(C)=O)C(=O)OC)[C@@]12C,C=C1C2CC[C@@]3(C)C(c4ccoc4)OC(=O)C[C@@]13OC1CC(=O)C(C)(C)C(C(OC(C)=O)C(=O)OC)[C@@]12C,1
Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CN1CCN(c3cc(N4CCCC4)nc(N4CCCC4)n3)CC1)O2,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CN1CCN(c3cc(N4CCCC4)nc(N4CCCC4)n3)CC1)O2,0
COc1cc(NCC[C@@H]2CCCCN2)c2ncccc2c1,COc1cc(NCC[C@@H]2CCCCN2)c2ncccc2c1,1
C=C(C)CC1(c2ccccc2)Oc2ccccc2-c2nc3cc(Cl)c(Cl)cc3nc21,C=C(C)CC1(c2ccccc2)Oc2ccccc2-c2nc3cc(Cl)c(Cl)cc3nc21,0
Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,1
CCCCSC(=S)N(C)C1CCS(=O)(=O)C1,CCCCSC(=S)N(C)C1CCS(=O)(=O)C1,1
COc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)N/N=C/c2ccncc2)cc1,COc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)N/N=C/c2ccncc2)cc1,1
COC(=O)C/C=C\[C@@H](C)[C@@H](/C=N\OC[C@@H](C)[C@H](OCc1ccccc1)C(C)C)NS(=O)(=O)c1ccc(C)cc1,COC(=O)C/C=C\[C@@H](C)[C@@H](/C=N\OC[C@@H](C)[C@H](OCc1ccccc1)C(C)C)NS(=O)(=O)c1ccc(C)cc1,0
O=[N+]([O-])c1cccc(/C=N/Nc2cc(Cl)nc(-c3ccccc3)n2)c1,O=[N+]([O-])c1cccc(/C=N/Nc2cc(Cl)nc(-c3ccccc3)n2)c1,1
Cc1ccc(CSc2nnc(C(F)(F)F)n2Cc2ccc(F)cc2)cc1,Cc1ccc(CSc2nnc(C(F)(F)F)n2Cc2ccc(F)cc2)cc1,1
COc1ccc(NC(=O)CSc2nc3ccccc3cc2Cc2ccccc2)cc1,COc1ccc(NC(=O)CSc2nc3ccccc3cc2Cc2ccccc2)cc1,1
CCC1=C2CC[C@H]3C(=O)N(c4ccccc4)C(=O)[C@H]3[C@H]2[C@@]2(Cc3ccccc3)/C(=N/CC3CC3)OC(=O)N2C1=O,CCC1=C2CC[C@H]3C(=O)N(c4ccccc4)C(=O)[C@H]3[C@H]2[C@@]2(Cc3ccccc3)/C(=N/CC3CC3)OC(=O)N2C1=O,1
COC(=O)[C@@H]1C[C@H]1[C@@H](NC(=O)c1ccccc1)c1ccccc1,COC(=O)[C@@H]1C[C@H]1[C@@H](NC(=O)c1ccccc1)c1ccccc1,1
CCn1c2ccccc2c2cc(NC(=O)C(C)Oc3ccc(OC)cc3)ccc21,CCn1c2ccccc2c2cc(NC(=O)C(C)Oc3ccc(OC)cc3)ccc21,1
COCCN(C(=O)Nc1ccc(OC)cc1OC)C1CCN(C(C)=O)CC1,COCCN(C(=O)Nc1ccc(OC)cc1OC)C1CCN(C(C)=O)CC1,0
Nc1cc(Cl)ccc1O,Nc1cc(Cl)ccc1O,0
CN(CCc1ccc(Cl)c(Cl)c1)C[C@@H](O)COc1ccc(NS(C)(=O)=O)cc1,CN(CCc1ccc(Cl)c(Cl)c1)C[C@@H](O)COc1ccc(NS(C)(=O)=O)cc1,1
COc1cc(/C=C/C(=O)O[C@H]2CC[C@]34C[C@]35CC[C@]3(C)[C@@H]([C@H](C)CCC=C(C)C)CC[C@@]3(C)[C@@H]5CC[C@H]4C2(C)C)ccc1O,COc1cc(/C=C/C(=O)O[C@H]2CC[C@]34C[C@]35CC[C@]3(C)[C@@H]([C@H](C)CCC=C(C)C)CC[C@@]3(C)[C@@H]5CC[C@H]4C2(C)C)ccc1O,0
CC(C)(c1ccccc1)c1ccc(O)cc1,CC(C)(c1ccccc1)c1ccc(O)cc1,1
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],0
Cc1cc(C)c2c(c1)C1C=CCC1C(c1ccc(S(=O)(=O)N3CCOCC3)cc1)N2,Cc1cc(C)c2c(c1)C1C=CCC1C(c1ccc(S(=O)(=O)N3CCOCC3)cc1)N2,1
Fc1ccc(Nc2ncncc2-c2ccccc2C(F)(F)F)cc1,Fc1ccc(Nc2ncncc2-c2ccccc2C(F)(F)F)cc1,1
CC(=O)C(Cl)Cl,CC(=O)C(Cl)Cl,0
O=C(Nc1ccccc1)N1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2,O=C(Nc1ccccc1)N1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2,0
O=C(COc1ccccc1Cl)Nc1cc(Cl)ccc1Oc1ccccc1,O=C(COc1ccccc1Cl)Nc1cc(Cl)ccc1Oc1ccccc1,1
Cc1ccccc1CNc1ncnc2c1ncn2[C@@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,Cc1ccccc1CNc1ncnc2c1ncn2[C@@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0
CCOc1ccccc1/C=N/NC(=O)Cc1csc(Nc2cccc(C(F)(F)F)c2)n1,CCOc1ccccc1/C=N/NC(=O)Cc1csc(Nc2cccc(C(F)(F)F)c2)n1,1
O=C(NC(=S)N(Cc1ccccc1)Cc1ccccc1)c1ccccc1F,O=C(NC(=S)N(Cc1ccccc1)Cc1ccccc1)c1ccccc1F,1
O=C(NC[C@@H](O)CO)c1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(N(CCO)C(=O)CO)c1I,O=C(NC[C@@H](O)CO)c1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(N(CCO)C(=O)CO)c1I,0
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,0
CCC(CC)c1nnc(NC(=O)c2ccc3ccccc3n2)s1,CCC(CC)c1nnc(NC(=O)c2ccc3ccccc3n2)s1,1
Cc1oc(-c2ccccc2)cc1C(=O)Nc1ccc(N(C)C)cc1,Cc1oc(-c2ccccc2)cc1C(=O)Nc1ccc(N(C)C)cc1,1
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,0
CCN1CCN(CCCNC(=O)C(NC(=O)C2CCC(C)CC2)C(C)C)CC1,CCN1CCN(CCCNC(=O)C(NC(=O)C2CCC(C)CC2)C(C)C)CC1,0
CCCCCCCCCCCCc1ccccc1O,CCCCCCCCCCCCc1ccccc1O,1
O=S(=O)(c1ccccc1)N1CCC2(CCN(C(c3ccccc3)c3ccccc3)CC2)CC1,O=S(=O)(c1ccccc1)N1CCC2(CCN(C(c3ccccc3)c3ccccc3)CC2)CC1,0
COc1ccc(-n2nnnc2-c2cn(C)nc2C(F)(F)F)cc1,COc1ccc(-n2nnnc2-c2cn(C)nc2C(F)(F)F)cc1,1
CCOC(=O)c1nc(N)sc1C(=O)OCC,CCOC(=O)c1nc(N)sc1C(=O)OCC,0
CC(C)Oc1ccc(C2CC(=O)NC3=C2C(=O)CCC3)cc1,CC(C)Oc1ccc(C2CC(=O)NC3=C2C(=O)CCC3)cc1,1
CC[N+](C)(CC)CCC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21,CC[N+](C)(CC)CCC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21,1
O=C1c2ccccc2C(=O)N1C[C@]1(C(=O)O)NCCS1(=O)=O,O=C1c2ccccc2C(=O)N1C[C@]1(C(=O)O)NCCS1(=O)=O,0
Nc1ccc(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1,Nc1ccc(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1,1
Cc1ccc2c(c1)c1c3n2CCN[C@H]3CCC1,Cc1ccc2c(c1)c1c3n2CCN[C@H]3CCC1,0
COc1ccccc1OP(C)(=O)Nc1ccc(C)cc1C,COc1ccccc1OP(C)(=O)Nc1ccc(C)cc1C,1
O=C(NCc1ccccc1)C12CN(Cc3ccccc3)CC1C(c1cccc([N+](=O)[O-])c1)=NO2,O=C(NCc1ccccc1)C12CN(Cc3ccccc3)CC1C(c1cccc([N+](=O)[O-])c1)=NO2,1
O=C(Nc1ccc(F)cc1)Nc1nnc(-c2ccncc2)s1,O=C(Nc1ccc(F)cc1)Nc1nnc(-c2ccncc2)s1,1
CCCn1nnnc1NC(=O)COc1ccc(Cl)cc1C,CCCn1nnnc1NC(=O)COc1ccc(Cl)cc1C,1
CC(C)(C)CC(C)(C)c1ccccc1O,CC(C)(C)CC(C)(C)c1ccccc1O,1
COP(=O)(OC)OC=C(Cl)Cl,COP(=O)(OC)OC=C(Cl)Cl,0
Cc1nnsc1NC(=O)OCc1ccc(C(F)(F)F)cc1,Cc1nnsc1NC(=O)OCc1ccc(C(F)(F)F)cc1,1
O=C(O)Cc1ccc2ocnc2c1,O=C(O)Cc1ccc2ocnc2c1,0
COc1ccccc1-n1c(SCC(=O)Nc2ccccc2F)nc2nncc-2c1O,COc1ccccc1-n1c(SCC(=O)Nc2ccccc2F)nc2nncc-2c1O,1
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,1
CCCCOc1ccccc1C1CC(=O)NC2=C1C(=O)CCC2,CCCCOc1ccccc1C1CC(=O)NC2=C1C(=O)CCC2,1
CCCC/C=C/C(NC(=O)c1cccs1)c1ccccc1,CCCC/C=C/C(NC(=O)c1cccs1)c1ccccc1,1
CCCC(=O)O[C@]1(C(=O)CO)CCC2[C@@H]3CCC4=CC(=O)CC[C@]4(C)C3C(O)C[C@]21C,CCCC(=O)O[C@]1(C(=O)CO)CCC2[C@@H]3CCC4=CC(=O)CC[C@]4(C)C3C(O)C[C@]21C,0
Nc1ccc(N(S(=O)(=O)c2ccccc2)S(=O)(=O)c2ccccc2)c(Cl)c1,Nc1ccc(N(S(=O)(=O)c2ccccc2)S(=O)(=O)c2ccccc2)c(Cl)c1,1
COc1cc2c(cc1OC)[C@H](c1ccccc1)CN(C)CC2,COc1cc2c(cc1OC)[C@H](c1ccccc1)CN(C)CC2,0
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,1
Cc1cc(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)nc(N)n1,Cc1cc(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)nc(N)n1,1
Cc1ccccc1Cn1c(Cc2ccccc2)nc2ccccc21,Cc1ccccc1Cn1c(Cc2ccccc2)nc2ccccc21,1
CCN(CC)S(=O)(=O)c1ccc(OC)c(NC(=O)CSc2ccccc2)c1,CCN(CC)S(=O)(=O)c1ccc(OC)c(NC(=O)CSc2ccccc2)c1,1
CCCCNC(=O)C(c1ccc(OCC(=O)OC)c(C(=O)OC)c1)N(CCc1ccccn1)C(=O)CCCCCN1C(=O)NC(c2ccc(-c3ccccc3)cc2)C(C(=O)OCc2ccccc2)=C1C,CCCCNC(=O)C(c1ccc(OCC(=O)OC)c(C(=O)OC)c1)N(CCc1ccccn1)C(=O)CCCCCN1C(=O)NC(c2ccc(-c3ccccc3)cc2)C(C(=O)OCc2ccccc2)=C1C,1
O=C1CCCCC1,O=C1CCCCC1,0
NCCC[C@@H](CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1ccccc1)NC(=O)C[C@H](CO)NC(=O)[C@@H]1CCCC[C@H]1N,NCCC[C@@H](CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1ccccc1)NC(=O)C[C@H](CO)NC(=O)[C@@H]1CCCC[C@H]1N,0
CC(=O)Oc1ccc2ccccc2c1C(NC(=O)Cc1ccccc1)c1ccc(Cl)cc1,CC(=O)Oc1ccc2ccccc2c1C(NC(=O)Cc1ccccc1)c1ccc(Cl)cc1,1
Cc1ccc(NCCC(=O)c2ccc(Cl)cc2)cc1,Cc1ccc(NCCC(=O)c2ccc(Cl)cc2)cc1,1
Cn1cnc([N+](=O)[O-])c1Sc1nnc(-c2cccnc2)n1C,Cn1cnc([N+](=O)[O-])c1Sc1nnc(-c2cccnc2)n1C,0
CCOc1ccc2nc(SCc3ccccc3C#N)sc2c1,CCOc1ccc2nc(SCc3ccccc3C#N)sc2c1,1
CCCCCCCC(=O)Cl,CCCCCCCC(=O)Cl,0
CC(C=O)Cc1ccc2c(c1)OCO2,CC(C=O)Cc1ccc2c(c1)OCO2,0
COc1ccccc1-c1nc(NCc2ccccc2)c2ccccc2n1,COc1ccccc1-c1nc(NCc2ccccc2)c2ccccc2n1,1
CCc1c(C(=O)OC)ncc2[nH]c3cc(OC)c(OC)cc3c12,CCc1c(C(=O)OC)ncc2[nH]c3cc(OC)c(OC)cc3c12,0
COCCOC(=O)C1=C(C)NC(=O)N(C(C)=O)C1c1ccc(Cl)cc1,COCCOC(=O)C1=C(C)NC(=O)N(C(C)=O)C1c1ccc(Cl)cc1,1
COc1ccc(S(=O)(=O)Nc2cc3c4c(oc3c3ccccc23)CC(C)(C)CC4=O)cc1,COc1ccc(S(=O)(=O)Nc2cc3c4c(oc3c3ccccc23)CC(C)(C)CC4=O)cc1,1
Cc1ccc(C(=O)N/N=C/c2cc(C)n(-c3ccc(Br)cc3)c2C)cc1[N+](=O)[O-],Cc1ccc(C(=O)N/N=C/c2cc(C)n(-c3ccc(Br)cc3)c2C)cc1[N+](=O)[O-],0
Cc1cc(NC(=O)c2c(F)cccc2F)n(-c2nc3ccccc3[nH]2)n1,Cc1cc(NC(=O)c2c(F)cccc2F)n(-c2nc3ccccc3[nH]2)n1,1
C=Cc1ccccc1,C=Cc1ccccc1,0
CC(=O)N1CCC2(CCCN(c3cccc(-c4ccccc4)c3)C2)CC1,CC(=O)N1CCC2(CCCN(c3cccc(-c4ccccc4)c3)C2)CC1,1
CC(C)(C)NC(=O)C1Cc2ccccc2CN1C(=O)Nc1ccccc1Cl,CC(C)(C)NC(=O)C1Cc2ccccc2CN1C(=O)Nc1ccccc1Cl,1
O=C(O)c1cc(O)nc(O)n1,O=C(O)c1cc(O)nc(O)n1,0
Cc1ccnc(NS(=O)(=O)c2ccc(N=[N+]=[N-])cc2)n1,Cc1ccnc(NS(=O)(=O)c2ccc(N=[N+]=[N-])cc2)n1,0
Cc1ccc(NC(=O)C(C)N2C(=O)C3C4CC(C(Br)C4Br)C3C2=O)cc1,Cc1ccc(NC(=O)C(C)N2C(=O)C3C4CC(C(Br)C4Br)C3C2=O)cc1,1
Cc1oc(-c2ccccc2Cl)nc1CSCC(=O)NC1CC1,Cc1oc(-c2ccccc2Cl)nc1CSCC(=O)NC1CC1,1
C=CCNC(=O)/C(=C\c1ccc2c(c1)OCO2)NC(=O)c1ccc(Br)cc1,C=CCNC(=O)/C(=C\c1ccc2c(c1)OCO2)NC(=O)c1ccc(Br)cc1,1
COc1ccc(S(=O)(=O)N/N=C(/C)c2cccc(NC(=O)c3ccccc3Cl)c2)cc1,COc1ccc(S(=O)(=O)N/N=C(/C)c2cccc(NC(=O)c3ccccc3Cl)c2)cc1,1
CCC1=C(OC(=O)N(CC)CC)N2C(=O)O/C(=N\CCc3c[nH]c4ccccc34)[C@]2(C)[C@H]2C1=CC[C@H]1C(=O)N(CC)C(=O)[C@H]12,CCC1=C(OC(=O)N(CC)CC)N2C(=O)O/C(=N\CCc3c[nH]c4ccccc34)[C@]2(C)[C@H]2C1=CC[C@H]1C(=O)N(CC)C(=O)[C@H]12,1
CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O,CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O,0
CC1=CC(=O)C=CC1(C)C(Cl)(Cl)Cl,CC1=CC(=O)C=CC1(C)C(Cl)(Cl)Cl,1
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,1
N#Cc1cccc(-c2ccc3ncnc(NC4CCNCC4)c3c2)c1,N#Cc1cccc(-c2ccc3ncnc(NC4CCNCC4)c3c2)c1,0
N[C@@H](C(=O)O)c1ccc(C(=O)O)c(C(=O)O)c1,N[C@@H](C(=O)O)c1ccc(C(=O)O)c(C(=O)O)c1,1
COCCCNC(=O)c1c(N)n(/N=C/c2ccccn2)c2nc3ccccc3nc12,COCCCNC(=O)c1c(N)n(/N=C/c2ccccn2)c2nc3ccccc3nc12,1
CN(C)c1ccnc(Oc2ccc(Cl)cc2)c1C#N,CN(C)c1ccnc(Oc2ccc(Cl)cc2)c1C#N,1
COc1ccc(O[C@H]2C=C[C@@H](c3ccccc3)O[C@H]2COC(=O)CC/C(C)=N\OC[C@@H](O)[C@H]2O[C@H]3OC(C)(C)O[C@H]3[C@@H]2O)cc1,COc1ccc(O[C@H]2C=C[C@@H](c3ccccc3)O[C@H]2COC(=O)CC/C(C)=N\OC[C@@H](O)[C@H]2O[C@H]3OC(C)(C)O[C@H]3[C@@H]2O)cc1,1
COC(=O)C1=C(C)NC(COC(N)=O)=C(C(=O)OC(C)C)C1c1cccc(Cl)c1Cl,COC(=O)C1=C(C)NC(COC(N)=O)=C(C(=O)OC(C)C)C1c1cccc(Cl)c1Cl,0
CCC(C)(C)n1nnnc1C(C(C)C)N(Cc1ccco1)Cc1cc2cc3c(cc2nc1O)OCO3,CCC(C)(C)n1nnnc1C(C(C)C)N(Cc1ccco1)Cc1cc2cc3c(cc2nc1O)OCO3,1
CC1=C(C#N)C(NC(=O)C2CCCCC2)(C(F)(F)F)C(=O)N1,CC1=C(C#N)C(NC(=O)C2CCCCC2)(C(F)(F)F)C(=O)N1,0
CCOC(=O)CCN1C(=O)[C@H]2CC[C@@H]3/C(=N\NC(=O)OCC)C[C@@H](O)[C@@H](O)[C@@H]3[C@@H]2C1=O,CCOC(=O)CCN1C(=O)[C@H]2[C@H]3[C@H](O)[C@H](O)C/C(=N/NC(=O)OCC)[C@H]3CC[C@@H]2C1=O,0
Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.O.[Na+],Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,0
CC(C)Oc1cc(O)c2c(c1)OCC=C2CCC(=O)O,CC(C)Oc1cc(O)c2c(c1)OCC=C2CCC(=O)O,1
Cc1cccc(NC(=O)CSc2nc(O)c3c(C)cc(C)nc3n2)c1,Cc1cccc(NC(=O)CSc2nc(O)c3c(C)cc(C)nc3n2)c1,1
CCCC(=O)NC(Nc1ccccc1OC)C(Cl)(Cl)Cl,CCCC(=O)NC(Nc1ccccc1OC)C(Cl)(Cl)Cl,1
O=C(COc1ccc(F)cc1)Nc1nnc(-c2ccncc2)s1,O=C(COc1ccc(F)cc1)Nc1nnc(-c2ccncc2)s1,1
CN(C)c1ccc(/C=N/NC(=S)NCc2ccccc2)cc1,CN(C)c1ccc(/C=N/NC(=S)NCc2ccccc2)cc1,1
CC(=O)Nc1ccccc1C(=O)OCc1ccc(C(=O)c2ccccc2)cc1,CC(=O)Nc1ccccc1C(=O)OCc1ccc(C(=O)c2ccccc2)cc1,1
O=C(Nc1cccc(F)c1)N1CCCC2(CCN(C(=O)c3ccncc3)CC2)C1,O=C(Nc1cccc(F)c1)N1CCCC2(CCN(C(=O)c3ccncc3)CC2)C1,1
CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O,CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O,1
CC(C)CCCCCCOC(=O)C1CCCCC1C(=O)OCCCCCCC(C)C,CC(C)CCCCCCOC(=O)C1CCCCC1C(=O)OCCCCCCC(C)C,0
COC(=O)[C@H]1[C@H](c2ccccc2)C(=O)[C@@]2(O)c3ccccc3O[C@@]12c1ccccc1,COC(=O)[C@H]1[C@H](c2ccccc2)C(=O)[C@@]2(O)c3ccccc3O[C@@]12c1ccccc1,0
C=COC(=O)C(C)(CC)CCC(C)C,C=COC(=O)C(C)(CC)CCC(C)C,0
CC(=O)Nc1cccc(N2C(=O)CCC2=O)c1,CC(=O)Nc1cccc(N2C(=O)CCC2=O)c1,0
O=C(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1CCC2(CCCN(c3ccccc3)C2)CC1,O=C(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1CCC2(CCCN(c3ccccc3)C2)CC1,0
C/C(CC(=O)NC1CCCC1)=N\NC(=O)Cc1cccs1,C/C(CC(=O)NC1CCCC1)=N\NC(=O)Cc1cccs1,0
Cc1ccc(N[C@H](c2ccccc2)c2ccc3cccnc3c2O)cc1,Cc1ccc(N[C@H](c2ccccc2)c2ccc3cccnc3c2O)cc1,0
CCOC(=O)c1c(-c2ccccc2)nc2ccccn12,CCOC(=O)c1c(-c2ccccc2)nc2ccccn12,0
NCCC[C@@H](CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1c[nH]c2ccccc12)NC(=O)C[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CNCC[C@H]1N,NCCC[C@@H](CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1c[nH]c2ccccc12)NC(=O)C[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CNCC[C@H]1N,0
CC1Cc2ccccc2N1C(=O)CN1C(=O)COc2ccccc21,CC1Cc2ccccc2N1C(=O)CN1C(=O)COc2ccccc21,1
NCCC[C@@H](CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1ccccc1)NC(=O)C[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCC[C@H]1N,NCCC[C@@H](CC(=O)N[C@@H]1CCNC[C@H]1C(=O)N[C@H](CC(=O)N[C@@H](CCC(=O)O)CC(=O)O)Cc1ccccc1)NC(=O)C[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCC[C@H]1N,0
CCCCNC(=S)NNC(=O)c1sccc1C,CCCCNC(=S)NNC(=O)c1sccc1C,1
CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,1
Cc1cnc(CNc2ncncc2-c2ccccc2C)cn1,Cc1cnc(CNc2ncncc2-c2ccccc2C)cn1,1
Cc1ccc(N)c(N)c1,Cc1ccc(N)c(N)c1,1
CC(C)CC1(C(=O)NCC2CC2)C=CCN1C(=O)c1ccccc1,CC(C)CC1(C(=O)NCC2CC2)C=CCN1C(=O)c1ccccc1,1
Cc1ccc2ccccc2c1,Cc1ccc2ccccc2c1,0
COC(=O)C(O)(c1c(C)[nH]c2ccccc12)C(F)(F)F,COC(=O)C(O)(c1c(C)[nH]c2ccccc12)C(F)(F)F,1
COc1cc(N)ccc1C,COc1cc(N)ccc1C,0
S=C1SCN(Cc2ccccc2)CN1Cc1ccccc1,S=C1SCN(Cc2ccccc2)CN1Cc1ccccc1,1
CCN(CC)c1ccc2c(c1)OC(N)=C(C#N)C2c1cccnc1,CCN(CC)c1ccc2c(c1)OC(N)=C(C#N)C2c1cccnc1,1
O=C1CSC(c2ccccn2)N1c1ccc(Cl)c(Cl)c1,O=C1CSC(c2ccccn2)N1c1ccc(Cl)c(Cl)c1,1
CCc1ccc(-c2csc(NC(=O)C3CCCO3)c2C(=O)OC(C)C)cc1,CCc1ccc(-c2csc(NC(=O)C3CCCO3)c2C(=O)OC(C)C)cc1,1
COC(=O)c1cc(NC(=O)CC2NC3CCCCC3NC2=O)cc(C(=O)OC)c1,COC(=O)c1cc(NC(=O)CC2NC3CCCCC3NC2=O)cc(C(=O)OC)c1,0
CCCCCCCCCCCl,CCCCCCCCCCCl,0
O=C1c2cccc3c(Cl)ccc(c23)C(=O)N1O,O=C1c2cccc3c(Cl)ccc(c23)C(=O)N1O,0
CN(C)C(=O)c1ccc(-c2nc(NC3CCNCC3)c3ccccc3n2)cc1,CN(C)C(=O)c1ccc(-c2nc(NC3CCNCC3)c3ccccc3n2)cc1,0
COC(=O)[C@@]1(Cc2ccccc2)C=C[C@@H](C)N1C(=O)c1ccccc1,COC(=O)[C@@]1(Cc2ccccc2)C=C[C@@H](C)N1C(=O)c1ccccc1,0
CC(=O)Nc1nc2ccc(Br)cc2s1,CC(=O)Nc1nc2ccc(Br)cc2s1,1
Clc1cccc(Cl)c1CSc1nnc(/C=C/c2ccccc2)o1,Clc1cccc(Cl)c1CSc1nnc(/C=C/c2ccccc2)o1,1
CC(C)(C)c1ccc(O)c(CN(Cc2cc(C(C)(C)C)ccc2O)C2CCCCC2)c1,CC(C)(C)c1ccc(O)c(CN(Cc2cc(C(C)(C)C)ccc2O)C2CCCCC2)c1,1
CS(=O)(=O)Nc1cccc(-c2cc(Nc3ccccc3)ncn2)c1,CS(=O)(=O)Nc1cccc(-c2cc(Nc3ccccc3)ncn2)c1,1
